1.3980 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
117.2977 	EXP 	New trial (rep=57, index=0): None
117.3005 	DATA 	Keypress: up
117.3062 	EXP 	fixation: autoDraw = False
117.3062 	EXP 	grating: autoDraw = False
117.3062 	EXP 	grating: ori = 1.0
117.3062 	EXP 	fixation: autoDraw = True
118.3062 	EXP 	fixation: autoDraw = False
118.3062 	EXP 	grating: autoDraw = True
118.6104 	EXP 	grating: autoDraw = False
119.0807 	EXP 	New trial (rep=58, index=0): None
119.0835 	DATA 	Keypress: up
119.0931 	EXP 	fixation: autoDraw = False
119.0931 	EXP 	grating: autoDraw = False
